task,n_train,target_es,actual_es,kl,logit_diff,prob_diff
ioi,50,0.995,0.9728868007659912,0.3867048535789145,2.7090388180582927,
ioi,50,1.0,0.972977876663208,0.3725390083981873,2.6605178979743203,
ioi,50,1.01,0.9758015275001526,0.45114412909967166,2.521824064255818,
ioi,50,1.02,0.9774107336997986,0.4493541812560385,2.235523572849231,
ioi,50,1.05,0.9799914956092834,0.4418921591959734,2.2866046248168406,
ioi,50,1.1,0.983392059803009,0.5810172644386719,1.440164826421354,
ioi,100,0.94,0.9522407054901123,0.2532384633278905,2.927316527688547,
ioi,100,0.945,0.9553679823875427,0.2187422322447941,3.5827470525063507,
ioi,100,0.95,0.9576451182365417,0.2976522254115047,2.5979334438287185,
ioi,100,0.955,0.9597097635269165,0.2494901925944288,2.8118614883515884,
ioi,100,0.96,0.9618046879768372,0.24823920578282258,2.9465174922894484,
ioi,100,0.965,0.9637782573699951,0.27977171628529995,3.1235088184104236,
ioi,100,0.97,0.9657213687896729,0.29848155477450206,2.9229370801600263,
ioi,100,0.975,0.9667233228683472,0.3144700227866606,3.488986172944079,
ioi,100,0.98,0.9689397811889648,0.30934026253508223,2.5071850958400126,
ioi,100,0.985,0.9702453017234802,0.29004478292769836,2.6063892859046733,
ioi,100,0.99,0.971065104007721,0.30560928291888745,2.9965129029181274,
ioi,100,0.995,0.9718241691589355,0.3465672253431855,2.5092704161058417,
ioi,100,1.0,0.9734333157539368,0.345842745024395,2.502727730445198,
ioi,100,1.01,0.9740405678749084,0.45725497048334357,2.348195679950788,
ioi,100,1.02,0.9762569665908813,0.3709389865746582,2.443236897887947,
ioi,100,1.05,0.9788377285003662,0.46259060620478215,2.0483829999178824,
ioi,100,1.1,0.9819650053977966,0.5975681555203135,1.8576256812590082,
ioi,200,0.94,0.951238751411438,0.18507666439915413,3.3802167984218534,
ioi,200,0.945,0.9551554322242737,0.2149204619954561,3.6155035352775626,
ioi,200,0.95,0.9564002752304077,0.2214317728362727,3.5121301294311347,
ioi,200,0.955,0.9587078094482422,0.21667835778538078,3.7873966695728223,
ioi,200,0.96,0.9603169560432434,0.21380858601011785,3.571927360705507,
ioi,200,0.965,0.9640211462974548,0.22485754712486428,3.2539352111046784,
ioi,200,0.97,0.9651749134063721,0.24416495560684257,3.666200407882604,
ioi,200,0.975,0.9658428430557251,0.2849076803103463,2.729198427266919,
ioi,200,0.98,0.9679378271102905,0.26030273286135047,3.351572183584271,
ioi,200,0.985,0.9702149629592896,0.28032504687718707,2.9704819541722256,
ioi,200,0.99,0.97127765417099,0.29710889329595197,2.9323322539080565,
ioi,200,0.995,0.9716419577598572,0.29825626591356463,3.234552683025225,
ioi,200,1.0,0.971945583820343,0.32396813073895636,2.9300911518253807,
ioi,200,1.02,0.9741923809051514,0.35050229508112923,2.8684301142707893,
ioi,200,1.01,0.9747388958930969,0.33069497966198275,3.512774507852209,
ioi,200,1.05,0.979505717754364,0.3978242300012654,3.235299637095387,
ioi,200,1.1,0.981570303440094,0.48969342073948247,2.666901359668051,
ioi_t1,20,0.94,0.9596186280250549,0.8593305434359357,-0.7531951242084712,
ioi_t1,20,0.945,0.9625030159950256,0.62184064226355,0.030982580672292537,
ioi_t1,20,0.95,0.9628673791885376,0.9854965639222854,-1.1810390773494523,
ioi_t1,20,0.955,0.9671787619590759,0.6225882510159931,-0.12980769708935985,
ioi_t1,20,0.96,0.9718848466873169,0.7245441969247569,-0.2707517908491907,
ioi_t1,20,0.965,0.9747692346572876,1.0198895760183964,-1.4278653355953554,
ioi_t1,20,0.97,0.9780179858207703,0.9640078157216034,-0.9376713239278435,
ioi_t1,20,0.975,0.9797182679176331,1.0436579528858947,-1.2308126191000837,
ioi_t1,20,0.98,0.9820560812950134,0.6977698979555759,0.29682643058598407,
ioi_t1,20,0.985,0.9834223985671997,1.5318521864322459,-2.3942565703362955,
ioi_t1,20,0.99,0.9836349487304688,0.8837680712595664,-0.7263785036529146,
ioi_t1,20,0.995,0.9851226806640625,1.1217755650408836,-1.297560817425458,
